,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
129,1.47,0.53,64,96,20,-4,-9,144,4,-5,136,204,289,25,29,9,5,8,12,19.138,0.47,2.1380000000000017,17
130,1.65,0.35,225,75,20,10,8,25,-10,-2,105,35,49,22,12,-8,2,15,5,8.524,0.65,1.5239999999999991,7
131,1.82,0.18,196,98,21,7,-1,49,-7,-8,210,105,225,29,22,1,8,14,7,16.248,0.82,1.248000000000001,15
132,1.84,0.16,169,0,13,13,11,0,-13,-2,26,0,4,15,2,-11,2,13,0,3.234,0.84,1.234,2
133,1.39,0.61,256,144,25,7,-1,81,-7,-8,272,153,289,33,26,1,8,16,9,19.596,0.39,2.596,17
134,1.79,0.21,256,128,24,8,15,64,-8,7,16,8,1,17,9,-15,-7,16,8,2.248,0.79,1.2480000000000002,1
135,1.55,0.45,16,64,20,-12,-8,256,12,4,48,192,144,16,28,8,-4,4,16,13.876,0.55,1.8759999999999994,12
136,1.09,0.91,225,165,26,4,13,121,-4,9,30,22,4,17,13,-13,-9,15,11,12.918,0.09,10.918,2
137,1.17,0.83,49,98,21,-7,7,196,7,14,0,0,0,7,14,-7,-14,7,14,5.94,0.17,5.94,0
138,1.94,0.06,169,260,33,-7,1,400,7,8,156,240,144,25,32,-1,-8,13,20,13.066,0.94,1.0660000000000007,12
139,1.62,0.38,9,33,14,-8,-1,121,8,7,12,44,16,7,15,1,-7,3,11,5.564,0.62,1.564,4
140,1.25,0.75,361,76,23,15,15,16,-15,0,76,16,16,23,8,-15,0,19,4,8.052,0.25,4.052,4
141,1.07,0.93,100,40,14,6,2,16,-6,-4,80,32,64,18,12,-2,4,10,4,22.03,0.07,14.030000000000001,8
142,1.09,0.91,36,42,13,-1,0,49,1,1,36,42,36,12,13,0,-1,6,7,17.662,0.09,11.661999999999999,6
143,1.47,0.53,256,128,24,8,11,64,-8,3,80,40,25,21,13,-11,-3,16,8,7.032,0.47,2.032,5
144,1.68,0.32,81,135,24,-6,-1,225,6,5,90,150,100,19,25,1,-5,9,15,11.442,0.68,1.4420000000000002,10
145,1.6,0.4,196,210,29,-1,-1,225,1,0,210,225,225,29,30,1,0,14,15,16.69,0.6,1.6900000000000013,15
146,1.61,0.39,81,54,15,3,5,36,-3,2,36,24,16,13,10,-5,-2,9,6,5.6,0.61,1.5999999999999996,4
147,1.67,0.33,169,52,17,9,4,16,-9,-5,117,36,81,22,13,-4,5,13,4,10.5,0.67,1.5,9
148,1.67,0.33,324,90,23,13,11,25,-13,-2,126,35,49,25,12,-11,2,18,5,8.566,0.67,1.5660000000000007,7
149,1.39,0.61,1,12,13,-11,-7,144,11,4,8,96,64,9,20,7,-4,1,12,10.58,0.39,2.58,8
150,1.77,0.23,81,153,26,-8,4,289,8,12,45,85,25,14,22,-4,-12,9,17,6.318,0.77,1.3179999999999996,5
151,1.19,0.81,121,110,21,1,5,100,-1,4,66,60,36,17,16,-5,-4,11,10,11.108,0.19,5.1080000000000005,6
152,1.67,0.33,144,48,16,8,10,16,-8,2,24,8,4,14,6,-10,-2,12,4,3.45,0.67,1.4500000000000002,2
153,1.2,0.8,16,36,13,-5,-11,81,5,-6,60,135,225,19,24,11,6,4,9,19.996,0.2,4.995999999999999,15
154,1.57,0.43,9,0,3,3,-13,0,-3,-16,48,0,256,19,16,13,16,3,0,17.728,0.57,1.7280000000000015,16
155,1.48,0.52,49,7,8,6,6,1,-6,0,7,1,1,8,2,-6,0,7,1,3.094,0.48,2.094,1
156,1.61,0.39,36,60,16,-4,3,100,4,7,18,30,9,9,13,-3,-7,6,10,4.6,0.61,1.5999999999999996,3
157,1.08,0.92,4,2,3,1,-8,1,-1,-9,20,10,100,12,11,8,9,2,1,22.092,0.08,12.091999999999999,10
158,1.51,0.49,289,323,36,-2,7,361,2,9,170,190,100,27,29,-7,-9,17,19,12.098,0.51,2.0980000000000008,10
159,1.12,0.88,64,64,16,0,-2,64,0,-2,80,80,100,18,18,2,2,8,8,18.52,0.12,8.52,10
160,1.36,0.64,361,304,35,3,9,256,-3,6,190,160,100,29,26,-9,-6,19,16,12.784,0.36,2.7840000000000007,10
161,1.91,0.09,324,54,21,15,5,9,-15,-10,234,39,169,31,16,-5,10,18,3,14.09,0.91,1.0899999999999999,13
162,1.74,0.26,169,91,20,6,-3,49,-6,-9,208,112,256,29,23,3,9,13,7,17.354,0.74,1.3539999999999992,16
163,1.31,0.69,225,195,28,2,9,169,-2,7,90,78,36,21,19,-9,-7,15,13,9.404,0.31,3.404,6
164,1.32,0.68,361,19,20,18,6,1,-18,-12,247,13,169,32,14,-6,12,19,1,16.278,0.32,3.2779999999999987,13
165,1.4,0.6,289,221,30,4,17,169,-4,13,0,0,0,17,13,-17,-13,17,13,2.456,0.4,2.456,0
166,1.36,0.64,1,0,1,1,-7,0,-1,-8,8,0,64,9,8,7,8,1,0,10.668,0.36,2.6679999999999993,8
167,1.45,0.55,196,0,14,14,9,0,-14,-5,70,0,25,19,5,-9,5,14,0,7.218,0.45,2.218,5
168,1.29,0.71,25,90,23,-13,-3,324,13,10,40,144,64,13,26,3,-10,5,18,11.554,0.29,3.5540000000000003,8
169,1.28,0.72,64,120,23,-7,3,225,7,10,40,75,25,13,20,-3,-10,8,15,8.474,0.28,3.474,5
170,1.19,0.81,36,48,14,-2,-7,64,2,-5,78,104,169,19,21,7,5,6,8,18.6,0.19,5.600000000000001,13
171,1.4,0.6,400,320,36,4,20,256,-4,16,0,0,0,20,16,-20,-16,20,16,2.398,0.4,2.398,0
172,1.24,0.76,25,60,17,-7,0,144,7,7,25,60,25,10,17,0,-7,5,12,8.848,0.24,3.8480000000000008,5
173,1.16,0.84,361,152,27,11,9,64,-11,-2,190,80,100,29,18,-9,2,19,8,16.014,0.16,6.013999999999999,10
174,1.53,0.47,400,400,40,0,5,400,0,5,300,300,225,35,35,-5,-5,20,20,16.914,0.53,1.9140000000000015,15
175,1.55,0.45,361,0,19,19,0,0,-19,-19,361,0,361,38,19,0,19,19,0,20.882,0.55,1.8820000000000014,19
176,1.87,0.13,16,52,17,-9,-3,169,9,6,28,91,49,11,20,3,-6,4,13,8.144,0.87,1.1440000000000001,7
177,1.84,0.16,225,255,32,-2,-1,289,2,1,240,272,256,31,33,1,-1,15,17,17.184,0.84,1.184000000000001,16
178,1.31,0.69,9,57,22,-16,-7,361,16,9,30,190,100,13,29,7,-9,3,19,13.212,0.31,3.2119999999999997,10
179,1.76,0.24,100,190,29,-9,8,361,9,17,20,38,4,12,21,-8,-17,10,19,3.318,0.76,1.318,2
180,1.92,0.08,289,119,24,10,9,49,-10,-1,136,56,64,25,15,-9,1,17,7,9.078,0.92,1.0779999999999994,8
181,1.42,0.58,324,252,32,4,3,196,-4,-1,270,210,225,33,29,-3,1,18,14,17.414,0.42,2.4140000000000015,15
182,1.24,0.76,169,247,32,-6,-6,361,6,0,247,361,361,32,38,6,0,13,19,23.022,0.24,4.0219999999999985,19
183,1.21,0.79,9,51,20,-14,-17,289,14,-3,60,340,400,23,37,17,3,3,17,25.01,0.21,5.010000000000002,20
184,1.74,0.26,144,168,26,-2,4,196,2,6,96,112,64,20,22,-4,-6,12,14,9.4,0.74,1.4000000000000004,8
185,1.65,0.35,289,17,18,16,13,1,-16,-3,68,4,16,21,5,-13,3,17,1,5.572,0.65,1.572,4
186,1.06,0.94,324,198,29,7,4,121,-7,-3,252,154,196,32,25,-4,3,18,11,30.646,0.06,16.646,14
187,1.67,0.33,36,84,20,-8,0,196,8,8,36,84,36,12,20,0,-8,6,14,7.532,0.67,1.532,6
188,1.15,0.85,225,120,23,7,15,64,-7,8,0,0,0,15,8,-15,-8,15,8,6.304,0.15,6.304,0
189,1.25,0.75,49,98,21,-7,2,196,7,9,35,70,25,12,19,-2,-9,7,14,8.766,0.25,3.766,5
190,1.23,0.77,121,88,19,3,5,64,-3,2,66,48,36,17,14,-5,-2,11,8,10.31,0.23,4.3100000000000005,6
191,1.14,0.86,1,2,3,-1,-11,4,1,-10,12,24,144,13,14,11,10,1,2,18.81,0.14,6.809999999999999,12
192,1.48,0.52,9,57,22,-16,3,361,16,19,0,0,0,3,19,-3,-19,3,19,2.114,0.48,2.114,0
193,1.93,0.07,9,24,11,-5,-13,64,5,-8,48,128,256,19,24,13,8,3,8,17.096,0.93,1.096,16
194,1.75,0.25,1,14,15,-13,-4,196,13,9,5,70,25,6,19,4,-9,1,14,6.35,0.75,1.3499999999999996,5
195,1.84,0.16,9,3,4,2,-13,1,-2,-15,48,16,256,19,17,13,15,3,1,17.182,0.84,1.1819999999999986,16
196,1.54,0.46,169,208,29,-3,-5,256,3,-2,234,288,324,31,34,5,2,13,16,19.828,0.54,1.8279999999999994,18
197,1.94,0.06,400,380,39,1,14,361,-1,13,120,114,36,26,25,-14,-13,20,19,7.062,0.94,1.0620000000000003,6
198,1.77,0.23,324,18,19,17,9,1,-17,-8,162,9,81,27,10,-9,8,18,1,10.274,0.77,1.2739999999999991,9
199,1.53,0.47,324,180,28,8,5,100,-8,-3,234,130,169,31,23,-5,3,18,10,14.862,0.53,1.862,13
200,1.51,0.49,1,6,7,-5,-14,36,5,-9,15,90,225,16,21,14,9,1,6,16.854,0.51,1.8539999999999992,15
201,1.12,0.88,289,136,25,9,12,64,-9,3,85,40,25,22,13,-12,-3,17,8,12.976,0.12,7.976000000000001,5
202,1.91,0.09,1,12,13,-11,-2,144,11,9,3,36,9,4,15,2,-9,1,12,4.122,0.91,1.1219999999999999,3
203,1.85,0.15,121,220,31,-9,-9,400,9,0,220,400,400,31,40,9,0,11,20,21.214,0.85,1.2139999999999986,20
204,1.31,0.69,196,182,27,1,0,169,-1,-1,196,182,196,28,27,0,1,14,13,17.314,0.31,3.314,14
205,1.28,0.72,4,30,17,-13,1,225,13,14,2,15,1,3,16,-1,-14,2,15,4.522,0.28,3.5220000000000002,1
206,1.2,0.8,324,18,19,17,17,1,-17,0,18,1,1,19,2,-17,0,18,1,6.134,0.2,5.134,1
207,1.74,0.26,25,50,15,-5,2,100,5,7,15,30,9,8,13,-2,-7,5,10,4.384,0.74,1.3840000000000003,3
208,1.75,0.25,81,90,19,-1,-2,100,1,-1,99,110,121,20,21,2,1,9,10,12.37,0.75,1.3699999999999992,11
