,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
107,2.97,4.7,1.27,-2.7,0.73,3.7,1.0,3.97,256,160,26,6,100,-6,1,50.938,0.27,34.938,16,10,1
108,5.41,7.25,1.16,-5.25,0.84,6.25,1.0,6.41,49,112,23,-9,256,9,1,128.898,0.16,121.898,7,16,1
109,1.08,2.32,1.76,-0.32,0.24,1.32,1.0,2.08,1,18,19,-17,324,17,1,6.718,0.76,5.718,1,18,1
110,1.06,2.28,1.78,-0.28,0.22,1.28,1.0,2.06,25,90,23,-13,324,13,1,10.164,0.78,5.164,5,18,1
111,15.73,17.67,1.06,-15.67,0.94,16.67,1.0,16.73,25,25,10,0,25,0,1,406.528,0.06,401.528,5,5,1
112,1.18,2.52,1.66,-0.52,0.34,1.52,1.0,2.18,36,42,13,-1,49,1,1,9.486,0.66,3.4860000000000007,6,7,1
113,2.85,4.57,1.28,-2.57,0.72,3.57,1.0,3.85,225,165,26,4,121,-4,1,53.726,0.28,38.726,15,11,1
114,1.39,2.85,1.54,-0.85,0.46,1.85,1.0,2.39,16,24,10,-2,36,2,1,10.32,0.54,6.32,4,6,1
115,6.28,8.14,1.14,-6.14,0.86,7.14,1.0,7.28,225,165,26,4,121,-4,1,121.854,0.14,106.854,15,11,1
116,4.74,6.56,1.18,-4.56,0.82,5.56,1.0,5.74,36,48,14,-2,64,2,1,69.25,0.18,63.25,6,8,1
117,1.12,2.41,1.71,-0.41,0.29,1.41,1.0,2.12,144,180,27,-3,225,3,1,18.5,0.71,6.5,12,15,1
118,2.63,4.33,1.3,-2.33,0.7,3.33,1.0,3.63,0,0,0,0,0,0,1,6.548,0.3,6.548,0,0,1
119,6.28,8.14,1.14,-6.14,0.86,7.14,1.0,7.28,169,208,29,-3,256,3,1,162.352,0.14,149.352,13,16,1
120,3.97,5.76,1.21,-3.76,0.79,4.76,1.0,4.97,196,266,33,-5,361,5,1,103.358,0.21,89.358,14,19,1
121,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,289,187,28,6,121,-6,1,37.97,0.4,20.97,17,11,1
122,1.95,3.56,1.39,-1.56,0.61,2.56,1.0,2.95,49,119,24,-10,289,10,1,36.188,0.39,29.188000000000002,7,17,1
123,1.8,3.38,1.42,-1.38,0.58,2.38,1.0,2.8,361,266,33,5,196,-5,1,40.988,0.42,21.988,19,14,1
124,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,169,169,26,0,169,0,1,104.286,0.17,91.286,13,13,1
125,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,400,340,37,3,289,-3,1,22.942,0.83,2.942,20,17,1
126,1.09,2.35,1.74,-0.35,0.26,1.35,1.0,2.09,100,20,12,8,4,-8,1,11.23,0.74,1.2300000000000004,10,2,1
127,1.08,2.32,1.76,-0.32,0.24,1.32,1.0,2.08,81,162,27,-9,324,9,1,15.052,0.76,6.052,9,18,1
128,1.15,2.47,1.68,-0.47,0.32,1.47,1.0,2.15,256,176,27,5,121,-5,1,22.01,0.68,6.010000000000002,16,11,1
129,3.41,5.17,1.24,-3.17,0.76,4.17,1.0,4.41,81,36,13,5,16,-5,1,32.708,0.24,23.708,9,4,1
130,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,0,0,2,-2,4,2,1,0.5,0.86,0.5,0,2,1
131,1.06,2.28,1.78,-0.28,0.22,1.28,1.0,2.06,400,0,20,20,0,-20,1,20.374,0.78,0.3739999999999988,20,0,1
132,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,121,132,23,-1,144,1,1,13.084,0.86,2.0839999999999996,11,12,1
133,1.07,2.3,1.77,-0.3,0.23,1.3,1.0,2.07,36,84,20,-8,196,8,1,10.722,0.77,4.7219999999999995,6,14,1
134,1.03,2.18,1.85,-0.18,0.15,1.18,1.0,2.03,361,38,21,17,4,-17,1,19.496,0.85,0.49599999999999866,19,2,1
135,3.25,5.0,1.25,-3.0,0.75,4.0,1.0,4.25,9,9,6,0,9,0,1,24.93,0.25,21.93,3,3,1
136,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,121,11,12,10,1,-10,1,11.636,0.81,0.6359999999999992,11,1,1
137,1.01,2.12,1.89,-0.12,0.11,1.12,1.0,2.01,64,72,17,-1,81,1,1,9.234,0.89,1.234,8,9,1
138,1.6,3.13,1.47,-1.13,0.53,2.13,1.0,2.6,256,160,26,6,100,-6,1,29.44,0.47,13.440000000000001,16,10,1
139,1.02,2.15,1.87,-0.15,0.13,1.15,1.0,2.02,36,6,7,5,1,-5,1,6.31,0.87,0.3099999999999996,6,1,1
140,5.41,7.25,1.16,-5.25,0.84,6.25,1.0,6.41,9,57,22,-16,361,16,1,133.026,0.16,130.026,3,19,1
141,1.13,2.43,1.7,-0.43,0.3,1.43,1.0,2.13,36,48,14,-2,64,2,1,9.788,0.7,3.7880000000000003,6,8,1
142,9.1,11.0,1.1,-9.0,0.9,10.0,1.0,10.1,400,80,24,16,16,-16,1,135.478,0.1,115.47800000000001,20,4,1
143,2.36,4.03,1.33,-2.03,0.67,3.03,1.0,3.36,361,380,39,-1,400,1,1,67.53,0.33,48.53,19,20,1
144,1.05,2.25,1.8,-0.25,0.2,1.25,1.0,2.05,1,4,5,-3,16,3,1,2.038,0.8,1.0379999999999998,1,4,1
145,1.15,2.47,1.68,-0.47,0.32,1.47,1.0,2.15,256,48,19,13,9,-13,1,18.236,0.68,2.2360000000000007,16,3,1
146,2.97,4.7,1.27,-2.7,0.73,3.7,1.0,3.97,1,10,11,-9,100,9,1,38.008,0.27,37.008,1,10,1
147,1.71,3.27,1.44,-1.27,0.56,2.27,1.0,2.71,324,54,21,15,9,-15,1,23.97,0.44,5.969999999999999,18,3,1
148,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,1,7,8,-6,49,6,1,19.032,0.36,18.032,1,7,1
149,1.71,3.27,1.44,-1.27,0.56,2.27,1.0,2.71,16,60,19,-11,225,11,1,26.092,0.44,22.092,4,15,1
150,3.58,5.35,1.23,-3.35,0.77,4.35,1.0,4.58,9,24,11,-5,64,5,1,44.292,0.23,41.292,3,8,1
151,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,100,40,14,6,16,-6,1,59.06,0.17,49.06,10,4,1
152,15.73,17.67,1.06,-15.67,0.94,16.67,1.0,16.73,196,42,17,11,9,-11,1,273.936,0.06,259.936,14,3,1
153,1.14,2.45,1.69,-0.45,0.31,1.45,1.0,2.14,64,0,8,8,0,-8,1,8.606,0.69,0.6059999999999999,8,0,1
154,1.02,2.15,1.87,-0.15,0.13,1.15,1.0,2.02,196,266,33,-5,361,5,1,16.95,0.87,2.9499999999999993,14,19,1
155,2.54,4.23,1.31,-2.23,0.69,3.23,1.0,3.54,0,0,14,-14,196,14,1,38.276,0.31,38.276,0,14,1
156,1.27,2.67,1.6,-0.67,0.4,1.67,1.0,2.27,196,168,26,2,144,-2,1,23.388,0.6,9.388000000000002,14,12,1
157,1.95,3.56,1.39,-1.56,0.61,2.56,1.0,2.95,1,1,2,0,1,0,1,6.568,0.39,5.568,1,1,1
158,1.3,2.72,1.58,-0.72,0.42,1.72,1.0,2.3,121,198,29,-7,324,7,1,26.356,0.58,15.356000000000002,11,18,1
159,1.67,3.22,1.45,-1.22,0.55,2.22,1.0,2.67,400,140,27,13,49,-13,1,31.626,0.45,11.626000000000001,20,7,1
160,1.01,2.12,1.89,-0.12,0.11,1.12,1.0,2.01,100,180,28,-8,324,8,1,12.288,0.89,2.2880000000000003,10,18,1
161,1.04,2.23,1.81,-0.23,0.19,1.23,1.0,2.04,121,110,21,1,100,-1,1,13.038,0.81,2.0380000000000003,11,10,1
162,3.11,4.85,1.26,-2.85,0.74,3.85,1.0,4.11,196,14,15,13,1,-13,1,27.528,0.26,13.527999999999999,14,1,1
163,1.05,2.25,1.8,-0.25,0.2,1.25,1.0,2.05,256,320,36,-4,400,4,1,21.168,0.8,5.167999999999999,16,20,1
164,1.76,3.33,1.43,-1.33,0.57,2.33,1.0,2.76,361,19,20,18,1,-18,1,22.644,0.43,3.6439999999999984,19,1,1
165,1.02,2.15,1.87,-0.15,0.13,1.15,1.0,2.02,100,200,30,-10,400,10,1,13.666,0.87,3.6660000000000004,10,20,1
166,4.74,6.56,1.18,-4.56,0.82,5.56,1.0,5.74,64,0,8,8,0,-8,1,32.686,0.18,24.686,8,0,1
167,9.1,11.0,1.1,-9.0,0.9,10.0,1.0,10.1,144,144,24,0,144,0,1,230.326,0.1,218.326,12,12,1
168,1.42,2.89,1.53,-0.89,0.47,1.89,1.0,2.42,324,144,26,10,64,-10,1,26.336,0.53,8.335999999999999,18,8,1
169,2.85,4.57,1.28,-2.57,0.72,3.57,1.0,3.85,225,165,26,4,121,-4,1,48.882,0.28,33.882,15,11,1
170,1.14,2.45,1.69,-0.45,0.31,1.45,1.0,2.14,144,84,19,5,49,-5,1,15.882,0.69,3.8819999999999997,12,7,1
171,1.23,2.61,1.62,-0.61,0.38,1.61,1.0,2.23,1,2,3,-1,4,1,1,3.09,0.62,2.09,1,2,1
172,1.08,2.33,1.75,-0.33,0.25,1.33,1.0,2.08,9,9,6,0,9,0,1,4.676,0.75,1.6760000000000002,3,3,1
173,4.74,6.56,1.18,-4.56,0.82,5.56,1.0,5.74,121,44,15,7,16,-7,1,57.802,0.18,46.802,11,4,1
174,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,1,5,6,-4,25,4,1,2.106,0.83,1.1059999999999999,1,5,1
175,3.25,5.0,1.25,-3.0,0.75,4.0,1.0,4.25,289,136,25,9,64,-9,1,56.2,0.25,39.2,17,8,1
176,6.82,8.69,1.13,-6.69,0.87,7.69,1.0,7.82,25,65,18,-8,169,8,1,141.196,0.13,136.196,5,13,1
177,5.82,7.67,1.15,-5.67,0.85,6.67,1.0,6.82,225,60,19,11,16,-11,1,77.296,0.15,62.29600000000001,15,4,1
178,1.02,2.14,1.88,-0.14,0.12,1.14,1.0,2.02,400,160,28,12,64,-12,1,21.524,0.88,1.524000000000001,20,8,1
179,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,169,208,29,-3,256,3,1,46.454,0.36,33.454,13,16,1
180,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,256,80,21,11,25,-11,1,66.112,0.17,50.111999999999995,16,5,1
181,3.41,5.17,1.24,-3.17,0.76,4.17,1.0,4.41,4,6,5,-1,9,1,1,25.3,0.24,23.3,2,3,1
182,11.58,13.5,1.08,-11.5,0.92,12.5,1.0,12.58,225,75,20,10,25,-10,1,227.244,0.08,212.244,15,5,1
183,2.36,4.03,1.33,-2.03,0.67,3.03,1.0,3.36,400,320,36,4,256,-4,1,61.34,0.33,41.34,20,16,1
184,1.63,3.17,1.46,-1.17,0.54,2.17,1.0,2.63,1,3,4,-2,9,2,1,6.066,0.46,5.066,1,3,1
185,1.03,2.18,1.85,-0.18,0.15,1.18,1.0,2.03,121,33,14,8,9,-8,1,11.752,0.85,0.7520000000000007,11,3,1
186,1.02,2.14,1.88,-0.14,0.12,1.14,1.0,2.02,256,80,21,11,25,-11,1,16.796,0.88,0.7959999999999994,16,5,1
187,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,25,60,17,-7,144,7,1,6.726,0.86,1.726,5,12,1
188,1.42,2.89,1.53,-0.89,0.47,1.89,1.0,2.42,225,120,23,7,64,-7,1,23.46,0.53,8.46,15,8,1
189,2.01,3.63,1.38,-1.63,0.62,2.63,1.0,3.01,36,18,9,3,9,-3,1,15.252,0.38,9.252,6,3,1
190,1.9,3.5,1.4,-1.5,0.6,2.5,1.0,2.9,64,96,20,-4,144,4,1,31.008,0.4,23.008,8,12,1
