,(1+p),(1-p),(x*x),(x*z),(x+z),(x-z),(z*z),(z-x),expected_post,p,post-init,x,z
76,1.8,0.2,4,36,20,-16,324,16,20.582,0.8,2.5820000000000007,2,18
77,1.68,0.32,4,32,18,-14,256,14,18.918,0.68,2.9179999999999993,2,16
78,1.39,0.61,256,192,28,4,144,-4,53.482,0.39,41.482,16,12
79,1.12,0.88,4,10,7,-3,25,3,21.542,0.12,16.542,2,5
80,1.1,0.9,81,108,21,-3,144,3,100.774,0.1,88.774,9,12
81,1.91,0.09,1,3,4,-2,9,2,4.096,0.91,1.096,1,3
82,1.26,0.74,121,176,27,-5,256,5,57.78,0.26,41.78,11,16
83,1.69,0.31,9,51,20,-14,289,14,21.324,0.69,4.324000000000002,3,17
84,1.83,0.17,289,272,33,1,256,-1,36.388,0.83,20.387999999999998,17,16
85,1.72,0.28,196,42,17,11,9,-11,22.476,0.72,19.476,14,3
86,1.38,0.62,100,40,14,6,16,-6,30.812,0.38,26.812,10,4
87,1.07,0.93,289,221,30,4,169,-4,260.54,0.07,247.54000000000002,17,13
88,1.13,0.87,361,209,30,8,121,-8,158.11,0.13,147.11,19,11
89,1.5,0.5,144,240,32,-8,400,8,43.552,0.5,23.552,12,20
90,1.25,0.75,9,39,16,-10,169,10,25.686,0.25,12.686,3,13
91,1.35,0.65,225,165,26,4,121,-4,54.342,0.35,43.342,15,11
92,1.21,0.79,256,176,27,5,121,-5,87.622,0.21,76.622,16,11
93,1.1,0.9,256,0,16,16,0,-16,160.414,0.1,160.414,16,0
94,1.69,0.31,16,36,13,-5,81,5,14.898,0.69,5.898,4,9
95,1.14,0.86,25,5,6,4,1,-4,37.578,0.14,36.578,5,1
96,1.46,0.54,1,14,15,-13,196,13,16.224,0.46,2.224,1,14
97,1.06,0.94,121,11,12,10,1,-10,188.176,0.06,187.176,11,1
98,1.62,0.38,361,95,24,14,25,-14,35.666,0.62,30.665999999999997,19,5
99,1.27,0.73,100,40,14,6,16,-6,41.004,0.27,37.004,10,4
100,1.19,0.81,324,288,34,2,256,-2,110.438,0.19,94.438,18,16
101,1.42,0.58,289,204,29,5,144,-5,52.808,0.42,40.808,17,12
102,1.11,0.89,49,70,17,-3,100,3,72.494,0.11,62.494,7,10
103,1.37,0.63,225,225,30,0,225,0,55.488,0.37,40.488,15,15
104,1.57,0.43,25,45,14,-4,81,4,17.612,0.57,8.611999999999998,5,9
105,1.65,0.35,64,16,10,6,4,-6,14.524,0.65,12.524,8,2
106,1.55,0.45,9,57,22,-16,361,16,24.582,0.55,5.582000000000001,3,19
107,1.44,0.56,361,190,29,9,100,-9,53.244,0.44,43.244,19,10
108,1.41,0.59,9,6,5,1,4,-1,9.294,0.41,7.2940000000000005,3,2
109,1.12,0.88,81,171,28,-10,361,10,93.424,0.12,74.424,9,19
110,1.38,0.62,64,64,16,0,64,0,29.058,0.38,21.058,8,8
111,1.39,0.61,100,110,21,-1,121,1,36.696,0.39,25.695999999999998,10,11
112,1.37,0.63,9,60,23,-17,400,17,27.882,0.37,7.8820000000000014,3,20
113,1.42,0.58,121,11,12,10,1,-10,27.16,0.42,26.16,11,1
114,1.13,0.87,121,0,11,11,0,-11,85.19,0.13,85.19,11,0
115,1.82,0.18,289,340,37,-3,400,3,40.844,0.82,20.844,17,20
116,1.94,0.06,64,144,26,-10,324,10,26.478,0.94,8.478000000000002,8,18
117,1.24,0.76,1,20,21,-19,400,19,24.276,0.24,4.276,1,20
118,1.75,0.25,16,76,23,-15,361,15,24.366,0.75,5.366,4,19
