,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
77,1.06,0.94,0,0,0,0,0,0,0.524,0.06,0.524,0,0
78,1.68,0.32,0,0,0,0,0,0,0.49,0.68,0.49,0,0
79,1.72,0.28,1,1,2,0,1,0,0.496,0.72,-0.504,1,1
80,1.71,0.29,1,1,2,0,1,0,0.508,0.71,-0.492,1,1
81,1.57,0.43,0,0,0,0,0,0,0.508,0.57,0.508,0,0
82,1.32,0.68,0,0,0,0,0,0,0.516,0.32,0.516,0,0
83,1.27,0.73,0,0,0,0,0,0,0.506,0.27,0.506,0,0
84,1.6,0.4,1,1,2,0,1,0,0.504,0.6,-0.496,1,1
85,1.87,0.13,0,0,0,0,0,0,0.484,0.87,0.484,0,0
86,1.16,0.84,1,1,2,0,1,0,0.49,0.16,-0.51,1,1
87,1.84,0.16,1,1,2,0,1,0,0.496,0.84,-0.504,1,1
88,1.11,0.89,1,1,2,0,1,0,0.562,0.11,-0.43799999999999994,1,1
89,1.7,0.3,1,1,2,0,1,0,0.484,0.7,-0.516,1,1
90,1.13,0.87,1,1,2,0,1,0,0.452,0.13,-0.548,1,1
91,1.89,0.11,1,1,2,0,1,0,0.508,0.89,-0.492,1,1
92,1.18,0.82,0,0,0,0,0,0,0.476,0.18,0.476,0,0
93,1.53,0.47,1,1,2,0,1,0,0.532,0.53,-0.46799999999999997,1,1
94,1.81,0.19,1,1,2,0,1,0,0.52,0.81,-0.48,1,1
95,1.19,0.81,1,1,2,0,1,0,0.52,0.19,-0.48,1,1
96,1.19,0.81,1,1,2,0,1,0,0.508,0.19,-0.492,1,1
97,1.75,0.25,1,1,2,0,1,0,0.48,0.75,-0.52,1,1
98,1.35,0.65,0,0,0,0,0,0,0.504,0.35,0.504,0,0
99,1.75,0.25,1,1,2,0,1,0,0.498,0.75,-0.502,1,1
100,1.16,0.84,0,0,0,0,0,0,0.518,0.16,0.518,0,0
101,1.56,0.44,0,0,0,0,0,0,0.5,0.56,0.5,0,0
102,1.91,0.09,1,1,2,0,1,0,0.5,0.91,-0.5,1,1
103,1.36,0.64,1,1,2,0,1,0,0.474,0.36,-0.526,1,1
104,1.91,0.09,1,1,2,0,1,0,0.476,0.91,-0.524,1,1
105,1.17,0.83,1,1,2,0,1,0,0.494,0.17,-0.506,1,1
