,G,flip,p1,post,pre,z
755,False,1,0.75,9,9.0,9
756,False,1,0.75,9,9.0,9
757,False,1,0.75,9,9.0,9
758,False,1,0.75,9,9.0,9
759,False,1,0.75,9,9.0,9
760,False,1,0.75,9,9.0,9
761,True,0,0.75,10,10.25,10
762,True,0,0.75,10,10.25,10
763,True,0,0.75,10,10.25,10
764,True,0,0.75,10,10.25,10
765,False,1,0.75,9,9.0,9
766,False,1,0.75,9,9.0,9
767,False,1,0.75,9,9.0,9
768,True,0,0.75,10,10.25,10
769,True,0,0.75,10,10.25,10
770,False,1,0.75,9,9.0,9
771,False,1,0.75,9,9.0,9
772,False,1,0.75,9,9.0,9
