,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
92,1.69,0.31,25,17.25,11.9,41.4,55.2,8.45,15.45,19.45,-1.55,-8.55,-12.55,60,80,17,21,1.55,-7,-11,144,192,28,7,8.55,-4,256,11,12.55,4,46.688,5,3.45,0.69,34.688,12,16
93,1.76,0.24,289,219.64,166.93,103.36,116.28,29.92,20.92,21.92,-4.08,4.92,3.92,136,153,25,26,4.08,9,8,64,72,17,-9,-4.92,-1,81,-8,-3.92,1,160.556,17,12.92,0.76,152.556,8,9
94,1.21,0.79,36,7.56,1.59,10.08,10.08,7.26,9.26,9.26,-4.74,-6.74,-6.74,48,48,14,14,4.74,-2,-2,64,64,16,2,6.74,0,64,2,6.74,0,50.288,6,1.26,0.21,42.288,8,8
95,1.89,0.11,361,321.29,285.95,219.83,253.65,35.91,29.91,31.91,-2.09,3.91,1.91,247,285,32,34,2.09,6,4,169,195,28,-6,-3.91,-2,225,-4,-1.91,2,213.75,19,16.91,0.89,200.75,13,15
96,1.68,0.32,64,43.52,29.59,38.08,48.96,13.44,12.44,14.44,-2.56,-1.56,-3.56,56,72,15,17,2.56,1,-1,49,63,16,-1,1.56,-2,81,1,3.56,2,54.41,8,5.44,0.68,47.41,7,9
97,1.87,0.13,169,147.03,127.92,22.62,33.93,24.31,13.31,14.31,-1.69,9.31,8.31,26,39,15,16,1.69,11,10,4,6,5,-11,-9.31,-1,9,-10,-8.31,1,86.614,13,11.31,0.87,84.614,2,3
98,1.66,0.34,16,10.56,6.97,2.64,7.92,6.64,3.64,5.64,-1.36,1.64,-0.36,4,12,5,7,1.36,3,1,1,3,4,-3,-1.64,-2,9,-1,0.36,2,11.748,4,2.64,0.66,10.748,1,3
99,1.78,0.22,49,38.22,29.81,109.2,43.68,12.46,25.46,13.46,-1.54,-14.54,-2.54,140,56,27,15,1.54,-13,-1,400,160,28,13,14.54,12,64,1,2.54,-12,54.488,7,5.46,0.78,34.488,20,8
100,1.33,0.67,256,84.48,27.88,73.92,0.0,21.28,19.28,5.28,-10.72,-8.72,5.28,224,0,30,16,10.72,2,16,196,0,14,-2,8.72,14,0,-16,-5.28,-14,57.786,16,5.28,0.33,43.786,14,0
101,1.46,0.54,49,22.54,10.37,51.52,51.52,10.22,19.22,19.22,-3.78,-12.78,-12.78,112,112,23,23,3.78,-9,-9,256,256,32,9,12.78,0,256,9,12.78,0,89.292,7,3.22,0.46,73.292,16,16
102,1.3,0.7,400,120.0,36.0,114.0,0.0,26.0,25.0,6.0,-14.0,-13.0,6.0,380,0,39,20,14.0,1,20,361,0,19,-1,13.0,19,0,-20,-6.0,-19,81.37,20,6.0,0.3,62.370000000000005,19,0
103,1.56,0.44,400,224.0,125.44,44.8,89.6,31.2,15.2,19.2,-8.8,7.2,3.2,80,160,24,28,8.8,16,12,16,32,12,-16,-7.2,-4,64,-12,-3.2,4,192.94,20,11.2,0.56,188.94,4,8
104,1.81,0.19,144,116.64,94.48,29.16,0.0,21.72,12.72,9.72,-2.28,6.72,9.72,36,0,15,12,2.28,9,12,9,0,3,-9,-6.72,3,0,-12,-9.72,-3,66.24,12,9.72,0.81,63.239999999999995,3,0
105,1.66,0.34,169,111.54,73.62,60.06,128.7,21.58,15.58,23.58,-4.42,1.58,-6.42,91,195,20,28,4.42,6,-2,49,105,22,-6,-1.58,-8,225,2,6.42,8,134.34,13,8.58,0.66,127.34,7,15
106,1.6,0.4,36,21.6,12.96,21.6,21.6,9.6,9.6,9.6,-2.4,-2.4,-2.4,36,36,12,12,2.4,0,0,36,36,12,0,2.4,0,36,0,2.4,0,33.076,6,3.6,0.6,27.076,6,6
